revenue,App Usage,months,eqpdays,Mobile,Married,isMale,pcown,Credit Card,Retention Calls,churndep
83.53,20,31,129,1,0,0,1,0,4,1
29.99,0,52,38,0,0,0,1,1,3,1
37.75,2.67,25,96,0,0,0,1,1,3,1
5.25,0,45,154,0,0,0,0,0,2,1
42.71,8.67,27,177,1,0,0,1,0,3,1
53.69,15,23,167,1,0,0,1,1,3,1
33.66,8.33,31,176,1,0,0,1,0,2,1
52.56,80,33,80,1,0,0,0,1,3,1
22.5,8.67,37,26,1,0,0,0,0,3,1
98.47,24.67,35,28,0,0,1,1,1,3,1
7.82,0,24,176,0,0,0,0,0,2,1
25.14,15,25,108,1,0,0,1,0,2,1
131.09,76.67,25,71,1,1,0,0,1,2,1
10,0,54,30,0,1,0,1,1,1,1
5,0,53,184,0,1,1,1,1,1,1
30.69,1.33,25,111,1,0,0,0,1,2,1
69.11,18,48,29,0,0,0,1,1,1,1
40.07,3.67,42,112,0,0,0,0,0,1,1
51.22,1,44,75,0,1,0,1,1,1,1
84.92,67,15,124,1,1,0,0,1,2,1
12.21,0,35,187,0,1,0,0,1,2,1
170.92,35,10,13,1,1,0,0,1,2,1
199,88.67,19,138,1,0,0,0,0,2,1
16.14,0,44,84,0,0,0,0,1,1,1
61.72,19.33,16,62,1,0,0,0,0,2,1
150,1.67,11,190,1,0,0,1,1,2,1
113.78,14,12,169,1,0,0,1,1,2,1
71.38,0.33,27,143,0,1,0,1,1,2,1
89.58,18.67,14,85,1,0,0,0,1,2,1
37.49,18,32,158,1,1,0,0,1,2,1
121.87,26.33,11,152,1,1,0,1,1,2,1
15.33,3,41,141,0,1,1,1,1,1,1
30.54,1,40,141,0,1,0,1,1,1,1
80.94,87.67,13,149,1,0,0,0,0,2,1
393.09,141.33,14,63,1,0,0,1,0,2,1
58.27,4.33,37,117,0,0,0,0,1,1,1
75.18,40,34,57,0,0,0,1,0,1,1
200.17,51.67,26,164,0,1,0,1,0,1,1
70.85,111.33,8,86,1,0,0,0,0,2,1
73.55,18.33,14,198,1,0,0,1,0,2,1
31.53,2.67,39,147,0,0,0,1,1,1,1
29.39,7.67,13,162,1,0,0,0,1,2,1
28.87,0.33,6,46,1,1,0,1,0,2,1
22.74,16,13,2,1,0,0,0,1,2,1
25.75,1,42,61,1,0,0,0,0,1,1
23.12,7,38,199,0,0,0,0,1,1,1
5,0,43,46,1,0,0,1,0,1,1
20.07,0,38,76,0,1,0,0,1,1,1
35.8,0,22,56,0,0,0,1,1,2,1
85.44,0.67,34,144,0,0,0,0,1,1,1
19.59,0,37,48,0,0,0,0,1,1,1
36.44,14.33,15,46,1,0,0,1,0,2,1
78.43,39.67,23,173,1,0,0,1,1,2,1
10.25,2.67,12,78,1,0,0,1,1,2,1
163.97,59.67,17,148,1,1,0,0,1,2,1
74.82,10.33,11,31,1,0,0,0,0,2,1
24.45,1.33,36,10,0,0,0,1,1,1,1
5,0,36,88,0,0,0,0,1,1,1
22.54,0,35,24,0,1,0,0,1,1,1
56.63,13,21,182,1,0,0,0,0,2,1
110.89,5,8,163,1,0,0,1,0,2,1
23.12,2.33,36,174,0,1,0,1,1,1,1
37.75,3.67,29,141,0,0,0,1,0,1,1
55.39,4,33,143,0,1,0,0,1,1,1
7.75,0,36,37,0,0,0,1,1,1,1
29.99,0,34,22,0,1,0,1,1,1,1
91.52,35.33,28,61,0,0,0,1,0,1,1
70.89,29.33,39,92,0,0,0,1,0,1,1
13.25,0,28,21,0,0,0,0,0,1,1
35.24,17,14,194,1,1,0,0,1,2,1
30,0.67,32,99,0,0,0,1,1,1,1
46.95,24,34,200,0,1,0,1,1,1,1
75.84,19.67,12,143,1,1,0,1,1,2,1
243.49,21.33,33,77,1,0,0,1,1,1,1
70.53,42.33,28,109,1,0,0,1,0,2,1
30.24,2.33,32,99,0,0,0,0,1,1,1
26.66,8.67,37,26,1,0,0,0,0,1,1
46.14,13,25,1,0,0,0,0,0,1,1
34.22,4.33,33,173,0,1,0,0,1,1,1
41.31,1,31,84,0,0,0,0,1,1,1
19.39,3,14,167,1,0,0,0,0,2,1
58.16,15.33,25,37,0,0,0,0,0,1,1
4.8,0,26,189,0,0,0,0,0,1,1
36.75,0,29,139,0,1,0,0,1,1,1
29.99,2.67,35,105,1,0,0,0,0,1,1
24.99,0.67,34,26,1,0,0,1,0,1,1
30.1,1.33,25,195,0,0,0,1,0,1,1
13.25,0,38,85,0,1,0,1,1,2,1
53.24,0,31,98,1,0,0,1,1,2,1
57.36,0,20,31,1,0,0,1,0,2,1
41.04,5.67,28,74,0,0,0,0,1,1,1
46.57,7,26,70,1,0,0,1,1,2,1
64.4,13.67,22,133,1,0,0,1,0,2,1
18.63,17.67,24,89,0,0,0,0,0,1,1
44.72,118.33,28,105,1,0,0,0,0,2,1
16.99,0,29,115,0,0,0,1,1,1,1
34.09,1.33,21,101,0,1,0,0,0,1,1
53.38,19.33,39,188,0,1,0,0,1,1,1
38.99,1.67,27,3,0,0,0,1,1,1,1
10,0,45,63,0,1,0,1,1,1,1
36.16,0,36,87,1,0,0,1,1,1,1
54.48,17.33,21,48,0,0,0,1,0,1,1
95.49,13.67,16,80,1,0,0,0,0,2,1
30.09,1.67,36,132,1,0,0,0,1,1,1
6.5,0,28,146,0,0,0,0,1,1,1
44.09,1.67,30,115,1,0,0,0,0,1,1
31.24,0,9,123,1,1,0,0,1,2,1
111.7,57,53,56,0,0,0,0,0,0,1
88.15,37.33,13,104,1,0,0,1,1,2,1
