customer_id,Gender,geo_group,age,Promotion,Channel
SB0000024239,M,North America,42,3,Email
SB0000103256,M,EU,41,2,Email
SB0000115357,M,North America,42,1,Email
SB0000060380,F,North America,39,3,Email
SB0000138548,M,Asia,43,3,Email
SB0000080565,M,North America,44,2,Email
SB0000100797,M,North America,50,2,Email
SB0000017899,F,EU,29,3,Email
SB0000083958,M,ROW,44,1,Email
SB0000107372,M,North America,27,2,Email
SB0000096555,F,Asia,31,3,Email
SB0000035225,F,North America,24,1,Email
SB0000113463,M,EU,34,1,Email
SB0000115640,M,North America,25,2,Email
SB0000100935,M,North America,35,3,Email
SB0000134225,M,EU,45,3,Email
SB0000129380,F,North America,58,3,Email
SB0000075208,F,Asia,24,1,Email
SB0000094588,F,North America,45,2,Email
SB0000062290,M,EU,24,2,Email
SB0000115559,F,EU,41,2,Email
SB0000108009,M,North America,32,1,Email
SB0000125765,M,EU,38,1,Email
SB0000037208,F,Asia,46,3,Email
SB0000143240,F,Asia,38,3,Email
SB0000068393,M,ROW,25,3,Email
SB0000017504,M,North America,36,2,Google
SB0000092662,M,North America,44,1,FaceBook
SB0000058321,M,North America,43,2,Google
SB0000094585,F,North America,29,3,Email
SB0000012853,F,EU,39,1,FaceBook
SB0000125010,M,North America,36,2,Google
SB0000127915,F,ROW,41,3,Email
SB0000140076,F,Asia,42,2,Google
SB0000063789,F,ROW,29,2,Google
SB0000055070,F,ROW,45,2,Google
SB0000079909,M,North America,31,1,FaceBook
SB0000039483,F,EU,33,3,Email
SB0000127355,F,North America,36,3,Email
SB0000133923,M,North America,41,1,FaceBook
SB0000065715,M,North America,40,2,Google
SB0000145088,M,EU,51,3,Email
SB0000097566,M,EU,61,1,FaceBook
SB0000126429,F,EU,49,2,Google
SB0000098095,M,EU,61,2,Google
SB0000073582,M,ROW,32,1,FaceBook
SB0000040849,F,EU,27,1,FaceBook
SB0000072126,M,EU,39,1,FaceBook
SB0000063603,F,ROW,38,1,FaceBook
SB0000145540,M,EU,37,2,Google
SB0000149718,F,North America,44,2,Google
SB0000126976,F,North America,36,2,Google
SB0000075756,F,North America,33,1,FaceBook
SB0000072789,M,EU,41,2,Google
SB0000013060,M,EU,42,1,FaceBook
SB0000110896,M,EU,43,1,FaceBook
SB0000087092,F,Asia,45,2,Google
